Behavior,Timestamp,Together,Note,Date,Activity_Type
Eating,2025-06-16 16:21:53.115000+00:00,Yes,No note provided,2025-06-16,Shared
Exploring,2025-06-16 17:08:57.114000+00:00,No,No note provided,2025-06-16,Solo
Interacting,2025-06-16 17:47:38.666000+00:00,Yes,No note provided,2025-06-16,Shared
Cuddling,2025-06-16 18:32:29.417000+00:00,Yes,No note provided,2025-06-16,Shared
Cuddling,2025-06-16 18:45:27.827000+00:00,Yes,Waiting for treats,2025-06-16,Shared
Eating,2025-06-16 19:34:15.656000+00:00,No,No note provided,2025-06-16,Solo
Eating,2025-06-16 19:37:26.544000+00:00,No,No note provided,2025-06-16,Solo
Resting,2025-06-16 20:37:58.703000+00:00,No,No note provided,2025-06-16,Solo
Resting,2025-06-16 21:43:38.172000+00:00,Yes,No note provided,2025-06-16,Shared
Interacting,2025-06-17 06:31:30.762000+00:00,Yes,Interacting with human; waiting for breakfast,2025-06-17,Shared
Eating,2025-06-17 07:18:10.334000+00:00,No,No note provided,2025-06-17,Solo
Eating,2025-06-17 09:05:53.351000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 10:17:12.481000+00:00,No,No note provided,2025-06-17,Solo
Resting,2025-06-17 11:17:25.923000+00:00,No,No note provided,2025-06-17,Solo
Interacting,2025-06-17 13:03:40.935000+00:00,No,No note provided,2025-06-17,Solo
Resting,2025-06-17 13:43:51.656000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 14:02:28.900000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 15:06:45.822000+00:00,Yes,No note provided,2025-06-17,Shared
Eating,2025-06-17 15:56:30.849000+00:00,Yes,No note provided,2025-06-17,Shared
Eating,2025-06-17 17:05:15.662000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 18:07:07.902000+00:00,Yes,No note provided,2025-06-17,Shared
Eating,2025-06-17 19:45:25.116000+00:00,Yes,No note provided,2025-06-17,Shared
Eating,2025-06-17 20:35:39.786000+00:00,No,No note provided,2025-06-17,Solo
Grooming,2025-06-18 05:26:06.517000+00:00,Yes,No note provided,2025-06-18,Shared
Playing,2025-06-18 07:02:22.324000+00:00,Yes,No note provided,2025-06-18,Shared
Exploring,2025-06-18 08:35:31.394000+00:00,No,No note provided,2025-06-18,Solo
Eating,2025-06-18 09:26:30.157000+00:00,Yes,No note provided,2025-06-18,Shared
Eating,2025-06-18 10:40:34.068000+00:00,No,No note provided,2025-06-18,Solo
Grooming,2025-06-18 10:52:21.093000+00:00,Yes,No note provided,2025-06-18,Shared
Exploring,2025-06-18 11:48:09.133000+00:00,No,No note provided,2025-06-18,Solo
Resting,2025-06-18 12:45:44.068000+00:00,No,No note provided,2025-06-18,Solo
Resting,2025-06-18 13:26:23.354000+00:00,No,No note provided,2025-06-18,Solo
Running,2025-06-18 15:32:59.835000+00:00,No,No note provided,2025-06-18,Solo
