Behavior,Timestamp,Together,Note
Eating,"2025-06-16T16:21:53.115Z",Yes,
Resting,"2025-06-16T17:08:52.533Z",No,
Interacting,"2025-06-16T17:47:38.666Z",Yes,
Cuddling,"2025-06-16T18:32:29.417Z",Yes,
Cuddling,"2025-06-16T18:45:27.827Z",Yes,"Waiting for treats"
Eating,"2025-06-16T19:33:56.803Z",No,
Eating,"2025-06-16T19:35:44.512Z",No,"(drinking)"
Eating,"2025-06-16T20:37:53.110Z",No,
Resting,"2025-06-16T21:43:38.172Z",Yes,
Interacting,"2025-06-17T06:31:30.762Z",Yes,"Interacting with human; waiting for breakfast"
Eating,"2025-06-17T07:18:05.489Z",No,
Eating,"2025-06-17T09:05:53.351Z",Yes,
Resting,"2025-06-17T10:17:06.284Z",No,
Resting,"2025-06-17T11:17:20.059Z",No,
Resting,"2025-06-17T13:03:35.595Z",No,
Resting,"2025-06-17T13:43:51.656Z",Yes,
Resting,"2025-06-17T14:02:28.900Z",Yes,
Resting,"2025-06-17T15:06:45.822Z",Yes,
Eating,"2025-06-17T15:56:30.849Z",Yes,
Eating,"2025-06-17T17:05:15.662Z",Yes,
Resting,"2025-06-17T18:07:07.902Z",Yes,
Eating,"2025-06-17T19:45:25.116Z",Yes,
Exploring,"2025-06-17T20:35:34.738Z",No,
Grooming,"2025-06-18T05:26:06.517Z",Yes,
Playing,"2025-06-18T07:02:22.324Z",Yes,
Resting,"2025-06-18T08:35:27.568Z",No,
Eating,"2025-06-18T09:26:30.157Z",Yes,
Resting,"2025-06-18T10:40:27.764Z",No,
Grooming,"2025-06-18T10:52:21.093Z",Yes,
Grooming,"2025-06-18T11:48:04.107Z",No,
Resting,"2025-06-18T12:45:38.852Z",No,
Resting,"2025-06-18T13:26:18.497Z",No,
Eating,"2025-06-18T15:33:04.074Z",No,
Eating,"2025-06-18T16:32:49.882Z",No,
Playing,"2025-06-18T18:22:26.919Z",Yes,
Eating,"2025-06-18T19:54:55.869Z",Yes,
Resting,"2025-06-18T20:23:02.167Z",No,
Eating,"2025-06-18T21:44:10.599Z",Yes,
Thumping,"2025-06-19T06:56:48.966Z",No,
Jumping,"2025-06-19T06:57:04.512Z",No,
Running,"2025-06-19T07:20:02.879Z",Yes,"Excited about breakfast"
Resting,"2025-06-19T08:23:13.665Z",Yes,"One rabbit in cage, one outside, but close together"
Eating,"2025-06-19T08:56:57.748Z",Yes,
Resting,"2025-06-19T10:08:46.783Z",No,
Resting,"2025-06-19T10:56:21.993Z",No,
Resting,"2025-06-19T11:48:05.017Z",No,
Resting,"2025-06-19T14:20:01.318Z",No,
Grooming,"2025-06-19T15:34:10.504Z",Yes,
Eating,"2025-06-19T16:50:34.248Z",Yes,
Resting,"2025-06-19T16:50:38.913Z",Yes,
Grooming,"2025-06-19T17:01:22.672Z",Yes,
Resting,"2025-06-19T18:04:01.616Z",No,
Interacting,"2025-06-19T18:50:00.258Z",Yes,
Eating,"2025-06-19T19:36:05.427Z",Yes,
Resting,"2025-06-19T20:34:54.258Z",Yes,
Resting,"2025-06-19T21:46:05.316Z",No,
Running,"2025-06-20T07:24:33.524Z",Yes,
Eating,"2025-06-20T08:32:22.801Z",No,
Resting,"2025-06-20T09:36:54.879Z",No,
Resting,"2025-06-20T10:05:22.934Z",No,
Resting,"2025-06-20T10:48:14.129Z",No,
Resting,"2025-06-20T12:07:10.561Z",No,
Resting,"2025-06-20T14:20:29.740Z",No,
Interacting,"2025-06-20T16:20:39.173Z",Yes,
Eating,"2025-06-20T17:04:11.478Z",No,
Resting,"2025-06-20T18:06:40.470Z",Yes,
Cuddling,"2025-06-20T18:45:11.263Z",Yes,
Playing,"2025-06-20T18:54:28.761Z",Yes,
Eating,"2025-06-20T20:23:19.480Z",No,
Running,"2025-06-20T21:34:52.963Z",Yes,
Chewing,"2025-06-20T23:33:19.490Z",No,
Eating,"2025-06-21T08:48:18.012Z",Yes,"drinking"
Resting,"2025-06-21T09:47:39.377Z",No,
Resting,"2025-06-21T11:08:45.151Z",No,
Resting,"2025-06-21T12:53:38.524Z",No,
Resting,"2025-06-21T13:51:09.576Z",No,
Resting,"2025-06-21T14:29:57.678Z",No,
Eating,"2025-06-21T15:47:51.407Z",No,
Resting,"2025-06-21T16:57:47.225Z",No,
Playing,"2025-06-21T18:05:26.526Z",No,
Eating,"2025-06-21T18:21:54.895Z",Yes,
Playing,"2025-06-21T19:40:08.687Z",Yes,
Playing,"2025-06-21T20:59:17.298Z",Yes,
Resting,"2025-06-21T22:19:30.716Z",No,
Eating,"2025-06-22T06:33:52.437Z",Yes,
Resting,"2025-06-22T07:36:15.732Z",No,
Eating,"2025-06-22T08:25:29.103Z",Yes,"Drinking"
Resting,"2025-06-22T09:06:49.586Z",No,
Resting,"2025-06-22T09:31:04.828Z",No,
Resting,"2025-06-22T11:44:45.746Z",No,
Resting,"2025-06-22T16:03:53.101Z",No,
Running,"2025-06-22T16:49:10.814Z",Yes,
Resting,"2025-06-22T17:34:25.591Z",Yes,
Interacting,"2025-06-22T19:12:45.355Z",Yes,
Eating,"2025-06-22T20:15:54.870Z",Yes,
Cuddling,"2025-06-22T21:18:21.162Z",Yes,
Eating,"2025-06-22T22:05:12.629Z",No,
Interacting,"2025-06-23T08:13:56.927Z",Yes,
Interacting,"2025-06-23T08:32:21.245Z",Yes,
Resting,"2025-06-23T09:41:46.445Z",No,
Resting,"2025-06-23T10:36:40.306Z",No,
Resting,"2025-06-23T11:36:48.792Z",No,
Playing,"2025-06-23T13:04:08.411Z",Yes,
Cuddling,"2025-06-23T13:50:13.724Z",Yes,
Resting,"2025-06-23T14:38:31.527Z",Yes,
Eating,"2025-06-23T17:26:22.749Z",No,
Cuddling,"2025-06-23T18:33:37.951Z",Yes,
Interacting,"2025-06-23T19:41:47.586Z",Yes,
Cuddling,"2025-06-23T20:32:12.246Z",Yes,
Eating,"2025-06-23T21:42:25.439Z",Yes,
Cuddling,"2025-06-24T07:58:24.968Z",Yes,
Alert,"2025-06-24T08:42:45.973Z",No,
Resting,"2025-06-24T10:08:29.548Z",No,
Resting,"2025-06-24T10:42:20.643Z",No,
Resting,"2025-06-24T11:32:28.124Z",No,
Resting,"2025-06-24T12:04:40.307Z",No,
Running,"2025-06-24T13:26:57.614Z",Yes,
Resting,"2025-06-24T14:44:07.255Z",Yes,"A new chew tunnel was introduced a little earlier"
Cuddling,"2025-06-24T15:48:56.893Z",Yes,
Chewing,"2025-06-24T17:03:56.263Z",Yes,
Cuddling,"2025-06-24T17:36:46.259Z",Yes,
Exploring,"2025-06-24T18:08:24.440Z",No,
Cuddling,"2025-06-24T19:18:59.953Z",Yes,
Exploring,"2025-06-24T20:48:50.465Z",Yes,
Resting,"2025-06-24T22:04:21.983Z",No,
Running,"2025-06-25T05:21:10.457Z",Yes,
